fund,n_days,start,end,alpha_ann,alpha_t,beta_spy,beta_qqq,raw_cagr,spy_cagr,r2
NANC,866,2023-02-08,2026-07-23,-0.0028101900910933583,-0.12076099348081569,0.6714752018358603,0.3163258371066571,0.21471958146401704,0.19780449505253328,0.9343874270599055
KRUZ,861,2023-02-07,2026-07-17,0.02766560426282104,0.5201470114483459,0.7713305548038252,-0.06508894659345103,0.17466794737907243,0.19906919750864893,0.5301582627188863
KNOW,602,2024-02-28,2026-07-23,-0.007022699977192452,-0.17106993099219828,1.0462052570357663,-0.3162436434300736,0.12482660777532817,0.18501927977949228,0.7375915946610316
