Date,insider_all,insider_liquid,SPY,QQQ
2017-06-01,1.0,1.0,1.0,1.0
2017-06-02,1.0,1.0,1.0033284066564363,1.011421590457129
2017-06-05,1.0,1.0,1.0025886801841457,1.0112099121294658
2017-06-06,1.0,1.0,0.999383730425231,1.0071912276839554
2017-06-07,1.0,1.0,1.0012328291246348,1.0111392001259545
2017-06-08,1.0,1.0,1.0017257867894305,1.0121972485021187
2017-06-09,1.0,1.0,1.0002053748624067,0.9868871569151993
2017-06-12,1.0,1.0,0.9999999999999998,0.9815989746072968
2017-06-13,1.0,1.0,1.0048897050721282,0.9895657459155238
2017-06-14,1.0,1.0,1.003615989458825,0.9852651288217094
2017-06-15,1.0,1.0,1.0016847553132135,0.9808939141451012
2017-06-16,1.0,1.0,1.001903614017628,0.9766380355518902
2017-06-19,1.0,1.0,1.0102446026935206,0.9929685036378924
2017-06-20,1.0,1.0,1.0034314203096237,0.9851922428245624
2017-06-21,1.0,1.0,1.0031836365892897,0.9949479820533393
2017-06-22,1.0,1.0,1.0027295355874837,0.9946653628807293
2017-06-23,1.0,1.0,1.0039268427627435,0.9984830101253181
2017-06-26,1.0,1.0,1.004587478527344,0.9938169332593108
2017-06-27,1.0,1.0,0.9964942735717858,0.9757902924547774
2017-06-28,1.0,1.0,1.0054132551096513,0.9898580908491343
2017-06-29,1.0,1.0,0.9965769164744133,0.9726791931417137
2017-06-30,1.0,1.0,0.9984352218831448,0.9730328675799881
2017-07-03,1.0,1.0,1.000128168992847,0.962782373168067
2017-07-05,1.0,1.0,1.002440430415836,0.9722551499620808
2017-07-06,1.0,1.0,0.9932738101451849,0.9634893787824628
2017-07-07,1.0,1.0,0.9997150269734837,0.9738808395185358
2017-07-10,1.0,1.0,1.0007888047574476,0.9802436612066624
2017-07-11,1.0,1.0,1.0000455260902195,0.9830006283985813
2017-07-12,1.0,1.0,1.0075605207024823,0.9946653628807292
2017-07-13,1.0,1.0,1.0092535403059588,0.9968568628859925
2017-07-14,1.0,1.0,1.0139607785483384,1.0047038357028337
2017-07-17,1.0,1.0,1.0138369591819456,1.0051983620445424
2017-07-18,1.0,1.0,1.0143734856050564,1.0119142860673551
2017-07-19,1.0,1.0,1.0198656139410749,1.0178528357344137
2017-07-20,1.0,1.0,1.0203200049179777,1.0191960205389763
2017-07-21,1.0,1.0,1.0194112954579462,1.0187719773593436
2017-07-24,1.0,1.0,1.019163511737612,1.0234378253839156
2017-07-25,1.0,1.0,1.0216410589658562,1.020821710095431
2017-07-26,1.0,1.0,1.02168238041717,1.0241448309983112
2017-07-27,1.0,1.0,1.0207325669871474,1.0177115261481084
2017-07-28,1.0,1.0,1.0195351873181133,1.016863439788843
2017-07-31,1.0,1.0,1.0189573394436888,1.01255103736111
2017-08-01,1.0,1.0,1.0212282794153642,1.0148837325319606
2017-08-02,1.0,1.0,1.0217235568809355,1.0176406997238796
2017-08-03,1.0,1.0,1.0197417945746823,1.0136820861551386
2017-08-04,1.0,1.0,1.0215997375145425,1.015519454039257
2017-08-07,1.0,1.0,1.0234990743994907,1.021953674255201
2017-08-08,1.0,1.0,1.0209806406825783,1.0201858741674175
2017-08-09,1.0,1.0,1.0209391017499418,1.0188424605214197
2017-08-10,1.0,1.0,1.0065284268387031,0.9969982868930152
2017-08-11,1.0,1.0,1.0080149841731594,1.0045628693786817
2017-08-14,1.0,1.0,1.018007526013666,1.0174992757168573
2017-08-15,1.0,1.0,1.0178834891659505,1.0182065101726883
2017-08-16,1.0,1.0,1.0196591516720546,1.0199736237361658
2017-08-17,1.0,1.0,1.003761629451263,0.9991187316326142
2017-08-18,1.0,1.0,1.0021927916830504,0.9984121837010891
2017-08-21,1.0,1.0,1.0029771743202696,0.9971395964793202
2017-08-22,1.0,1.0,1.0134652836014446,1.0123387869298586
2017-08-23,1.0,1.0,1.009831605661706,1.0087336189579568
2017-08-24,1.0,1.0,1.0074780952811775,1.005764172493351
2017-08-25,1.0,1.0,1.0098316056617058,1.0036432700708815
2017-08-28,1.0,1.0,1.0098730721005682,1.0067539117010746
2017-08-29,1.0,1.0,1.0110291303182886,1.0107122964283803
2017-08-30,1.0,1.0,1.015819011463296,1.022588938079627
2017-08-31,1.0,1.0,1.02193009164373,1.0335471246302494
2017-09-01,1.0,1.0,1.0233753275268722,1.0321329989807402
2017-09-05,1.0,1.0,1.016025401238542,1.0228722437765427
2017-09-06,1.0,1.0,1.0194940108543482,1.0259827709860183
2017-09-07,1.0,1.0,1.0193698290190842,1.0283867502639685
2017-09-08,1.0,1.0,1.0181724493500504,1.0194786397115865
2017-09-11,1.0,1.0,1.0290323067055007,1.0312138573558105
2017-09-12,1.0,1.0,1.0325007713337584,1.0336885486372722
2017-09-13,1.0,1.0,1.0329962662806522,1.035102216603911
2017-09-14,1.0,1.0,1.0326659121514647,1.0290225861919828
2017-09-15,1.0,1.0,1.0340561977537372,1.0325572710018087
2017-09-18,1.0,1.0,1.0362555138764686,1.031203788332657
2017-09-19,1.0,1.0,1.0372927547982183,1.0329753643041233
2017-09-20,1.0,1.0,1.0376663877106238,1.029787031006642
2017-09-21,1.0,1.0,1.0348861064811758,1.0234815340980608
2017-09-22,1.0,1.0,1.0350935111692612,1.0224897353174194
2017-09-25,1.0,1.0,1.03297705543048,1.0117202285302114
2017-09-26,1.0,1.0,1.0335995594698333,1.0143420648545787
2017-09-27,1.0,1.0,1.0376249212717616,1.023481534098061
2017-09-28,1.0,1.0,1.0388698568566936,1.0231275163976337
2017-09-29,1.0,1.0,1.0425212957711198,1.0304955240903673
2017-10-02,1.0,1.0,1.0470446173082664,1.0314164964467796
2017-10-03,1.0,1.0,1.0492854723636342,1.0336126877014669
2017-10-04,1.0,1.0,1.0505301904672435,1.034604944164979
2017-10-05,1.0,1.0,1.0567548683919032,1.0447364410305378
2017-10-06,1.0,1.0,1.0555513992458334,1.0461530839358353
2017-10-09,1.0,1.0,1.0538087214070062,1.0449486914617894
2017-10-10,1.0,1.0,1.0565887851551317,1.045728239811179
2017-10-11,1.0,1.0,1.0582488925851055,1.0488456322637139
2017-10-12,1.0,1.0,1.0566719355141787,1.0469324034437897
2017-10-13,1.0,1.0,1.0579582650441988,1.0509707682527367
2017-10-16,1.0,1.0,1.0593689938908055,1.0545844033577452
2017-10-17,1.0,1.0,1.0601162597156164,1.055930105418096
2017-10-18,1.0,1.0,1.0611532831560433,1.0546547720991035
2017-10-19,1.0,1.0,1.0614440556844986,1.0507582889800497
2017-10-20,1.0,1.0,1.0669215402781218,1.0535920324735157
2017-10-23,1.0,1.0,1.0627717066658324,1.0467200385918203
2017-10-24,1.0,1.0,1.0646391462901175,1.0484912713011336
2017-10-25,1.0,1.0,1.0593689938908055,1.0445238473371332
2017-10-26,1.0,1.0,1.06073825629855,1.041194090032629
2017-10-27,1.0,1.0,1.0694111939666628,1.071516953260053
2017-10-30,1.0,1.0,1.0654275885786935,1.0739259670495802
2017-10-31,1.0,1.0,1.0670876960086673,1.07796421743781
2017-11-01,1.0,1.0,1.0684985698428224,1.0776105429995355
2017-11-02,1.0,1.0,1.068913306725219,1.0755553180690003
2017-11-03,1.0,1.0,1.0724821027370175,1.085899637469399
2017-11-06,1.0,1.0,1.074141775204346,1.0895832980536129
2017-11-07,1.0,1.0,1.0733951618235031,1.0902210791338267
2017-11-08,1.0,1.0,1.0752206275525065,1.0946139193260718
2017-11-09,1.0,1.0,1.0713205349924555,1.088874919390605
2017-11-10,1.0,1.0,1.0709880785438153,1.088804092966376
2017-11-13,1.0,1.0,1.0719839255204768,1.0901503671303152
2017-11-14,1.0,1.0,1.0694945618070326,1.086182828745597
2017-11-15,1.0,1.0,1.0641413315424477,1.0810818387317795
2017-11-16,1.0,1.0,1.073187539654095,1.0948969961815522
2017-11-17,1.0,1.0,1.0700337704997902,1.0907167496827117
2017-11-20,1.0,1.0,1.0718593812163417,1.089866718171246
2017-11-21,1.0,1.0,1.0788725014295777,1.1016990790047598
2017-11-22,1.0,1.0,1.077918338373101,1.1030447810651107
2017-11-24,1.0,1.0,1.0804079920616423,1.1070830314533402
2017-11-27,1.0,1.0,1.0798684933937879,1.1065871320630194
2017-11-28,1.0,1.0,1.0908238250499052,1.1094211043979207
2017-11-29,1.0,1.0,1.0901594921028186,1.0900797695475213
2017-11-30,1.0,1.0,1.099703949924781,1.0992190099495682
2017-12-01,1.0,1.0,1.0974218459118736,1.0945429784811247
2017-12-04,1.0,1.0,1.0960938324616687,1.0819323279261157
2017-12-05,1.0,1.0,1.0921519109938844,1.082640477747688
2017-12-06,1.0,1.0,1.09235931568197,1.087528759647383
2017-12-07,1.0,1.0,1.0958035673896334,1.0912131067559028
2017-12-08,1.0,1.0,1.1017789392247002,1.0960302189692162
2017-12-11,1.0,1.0,1.1050983566531314,1.1045329369189432
2017-12-12,1.0,1.0,1.107048801648915,1.1030447810651107
2017-12-13,1.0,1.0,1.1069243298385543,1.105170489157722
2017-12-14,1.0,1.0,1.102401370770279,1.1043908263876148
2017-12-15,1.0,1.0,1.1115814023891635,1.1169311082012656
2017-12-18,1.0,1.0,1.1186301170455488,1.1262954141549417
2017-12-19,1.0,1.0,1.1143339185030796,1.1196218257976616
2017-12-20,1.0,1.0,1.1137502711267164,1.1184150304885447
2017-12-21,1.0,1.0,1.1160442641185981,1.1185566833370026
2017-12-22,1.0,1.0,1.1157521142084323,1.1172788327622216
2017-12-26,1.0,1.0,1.1144176488123205,1.1112442841130497
2017-12-27,1.0,1.0,1.1149596847622731,1.1113862802236607
2017-12-28,1.0,1.0,1.1172538227417033,1.1127351860641062
2017-12-29,1.0,1.0,1.113040992039604,1.1058484319098332
2018-01-02,1.0,1.0,1.1210076953591228,1.125230614956436
2018-01-03,1.0,1.0,1.1280981664294674,1.1361645443149155
2018-01-04,1.0,1.0,1.1328527431064224,1.138151917759881
2018-01-05,1.0,1.0,1.140402607224092,1.1495826618744225
2018-01-08,1.0,1.0,1.1424874556773068,1.1540555965690267
2018-01-09,1.0,1.0,1.1450733810980318,1.154126308572538
2018-01-10,1.0,1.0,1.1433217140311995,1.1514283824709295
2018-01-11,1.0,1.0,1.1516634276448343,1.159309452661632
2018-01-12,1.0,1.0,1.1591710278921252,1.167828876036137
2018-01-16,1.0,1.0,1.1552088081675551,1.1644917958057028
2018-01-17,1.0,1.0,1.166219887536059,1.1770585088051322
2018-01-18,1.0,1.0,1.1642597283745277,1.1772715601814077
2018-01-19,1.0,1.0,1.1695566309765324,1.1809632302158575
2018-01-22,1.0,1.0,1.1790660743055392,1.1936007696395157
2018-01-23,1.0,1.0,1.1815690668485397,1.203469442116619
2018-01-24,1.0,1.0,1.1811098912825373,1.1956599992951689
2018-01-25,1.0,1.0,1.1816102433123048,1.1952337821219006
2018-01-26,1.0,1.0,1.1952909784107746,1.2135508227078444
2018-01-29,1.0,1.0,1.1873662489865375,1.207658155748566
2018-01-30,1.0,1.0,1.175187512396436,1.197718542426516
2018-01-31,1.0,1.0,1.1757711597727993,1.2026881774564646
2018-02-01,1.0,1.0,1.174435896945171,1.1924649151753457
2018-02-02,1.0,1.0,1.1488690101294108,1.16868050943765
2018-02-05,1.0,1.0,1.1008204990355435,1.1226038585412095
2018-02-06,1.0,1.0,1.1225094763861687,1.1523515288209771
2018-02-07,1.0,1.0,1.1164197093753596,1.1374423948896963
2018-02-08,1.0,1.0,1.0745440431575743,1.0894479383446254
2018-02-09,1.0,1.0,1.0906851444597945,1.1082625946316547
2018-02-12,1.0,1.0,1.1067017739516538,1.1279287698994793
2018-02-13,1.0,1.0,1.1094540725842472,1.1337501527516585
2018-02-14,1.0,1.0,1.1244274441710955,1.1549783996569212
2018-02-15,1.0,1.0,1.1387757744364924,1.176419125834871
2018-02-16,1.0,1.0,1.1391091008104235,1.171165727425136
2018-02-20,1.0,1.0,1.1319766558447972,1.1735084916191403
2018-02-21,1.0,1.0,1.1263458469186678,1.170171754650859
2018-02-22,1.0,1.0,1.1278064514819477,1.1700298729609657
2018-02-23,1.0,1.0,1.1457823702100474,1.193955702705684
2018-02-26,1.0,1.0,1.1590875875579816,1.2097882118284478
2018-02-27,1.0,1.0,1.1446146404946753,1.1948076793693496
2018-02-28,1.0,1.0,1.1330196237747112,1.1871401182377928
2018-03-01,1.0,1.0,1.1165448336296888,1.1677578207704724
2018-03-02,1.0,1.0,1.122300621822599,1.1784784699112414
2018-03-05,1.0,1.0,1.1352720053401826,1.1915419976667325
2018-03-06,1.0,1.0,1.1381496457084277,1.1965828023830631
2018-03-07,1.0,1.0,1.1377324440377072,1.1993515549089004
2018-03-08,1.0,1.0,1.143238201203282,1.2059540880005162
2018-03-09,1.0,1.0,1.1631335375917928,1.2293832174098902
2018-03-12,1.0,1.0,1.1616732230036098,1.2359146952358417
2018-03-13,1.0,1.0,1.1541659127314159,1.2190886710216717
2018-03-14,1.0,1.0,1.1482430988826693,1.218875734066114
2018-03-15,1.0,1.0,1.1469920738207016,1.21781036276402
2018-03-16,1.0,1.0,1.1482359944927942,1.2141897479952346
2018-03-19,1.0,1.0,1.1326998537365625,1.1882837533107635
2018-03-20,1.0,1.0,1.1346261583055262,1.192194996702395
2018-03-21,1.0,1.0,1.1324484453275168,1.1870036143216294
2018-03-22,1.0,1.0,1.1041408588830406,1.157705617462249
2018-03-23,1.0,1.0,1.0806064800154978,1.1271984224586813
2018-03-26,1.0,1.0,1.1101708910238803,1.1690834992052335
2018-03-27,1.0,1.0,1.0912848129602644,1.1312521196437944
2018-03-28,1.0,1.0,1.0880601448947578,1.1182384793212012
2018-03-29,1.0,1.0,1.101963145905031,1.1387184147329945
2018-04-02,1.0,1.0,1.0781776486035393,1.1058645652310222
2018-04-03,1.0,1.0,1.091996484341926,1.1183094201661479
2018-04-04,1.0,1.0,1.1036798709726823,1.1359449709577332
2018-04-05,1.0,1.0,1.1123902154283003,1.1424164923276328
2018-04-06,1.0,1.0,1.0875997369345933,1.1138290481248958
2018-04-09,1.0,1.0,1.092959419145085,1.1216513060667235
2018-04-10,1.0,1.0,1.1103382066548138,1.1463985621434936
2018-04-11,1.0,1.0,1.104517609027738,1.1397849302422651
2018-04-12,1.0,1.0,1.1136045586405054,1.1535100385872428
2018-04-13,1.0,1.0,1.110338206654814,1.1475367050220167
2018-04-16,1.0,1.0,1.1194670576690888,1.156283367941786
2018-04-17,1.0,1.0,1.131443319147753,1.18117296339132
2018-04-18,1.0,1.0,1.1322812021903574,1.183589986631083
2018-04-19,1.0,1.0,1.125999834134246,1.17271040711349
2018-04-20,1.0,1.0,1.1164516791297978,1.1541497648196566
2018-04-23,1.0,1.0,1.1162842910050899,1.1512343249337844
2018-04-24,1.0,1.0,1.1012511845482724,1.126843031709642
2018-04-25,1.0,1.0,1.1039731082894615,1.12819376828157
2018-04-26,1.0,1.0,1.1151955795036335,1.1519457929561687
2018-04-27,1.0,1.0,1.1162426070849047,1.1526566888749648
2018-04-30,1.0,1.0,1.107658111821358,1.1444790401840979
2018-05-01,1.0,1.0,1.109626245298055,1.157563163668767
2018-05-02,1.0,1.0,1.1021725079250206,1.1507365948119812
2018-05-03,1.0,1.0,1.0997437490068365,1.150594369859935
2018-05-04,1.0,1.0,1.1139813087852026,1.1724256139472444
2018-05-07,1.0,1.0,1.1177501151201146,1.1821679659520556
2018-05-08,1.0,1.0,1.1177501151201146,1.180959111070021
2018-05-09,1.0,1.0,1.1285542972569527,1.1938304120198504
2018-05-10,1.0,1.0,1.1391069259971964,1.2062039828478766
2018-05-11,1.0,1.0,1.1425827124966519,1.2050660688107886
2018-05-14,1.0,1.0,1.1431269232598313,1.2071282734051008
2018-05-15,1.0,1.0,1.1352543893530433,1.1937592423334682
2018-05-16,1.0,1.0,1.1400284668552674,1.2016527843823954
2018-05-17,1.0,1.0,1.1390650245956886,1.1970304162305325
2018-05-18,1.0,1.0,1.1362173966499765,1.1908435736061607
2018-05-21,1.0,1.0,1.1447602079933383,1.1975280319316182
2018-05-22,1.0,1.0,1.1415774413293396,1.195963557459109
2018-05-23,1.0,1.0,1.1447181616042825,1.206061414633677
2018-05-24,1.0,1.0,1.1423730605015652,1.2057064815675085
2018-05-25,1.0,1.0,1.1396512817479245,1.2069151076081077
2018-05-29,1.0,1.0,1.1265443348725221,1.2015818435374488
2018-05-30,1.0,1.0,1.1415774413293396,1.2101860526637367
2018-05-31,1.0,1.0,1.1345841119164695,1.2094039870585587
2018-06-01,1.0,1.0,1.145723287784046,1.2283905032635072
2018-06-04,1.0,1.0,1.15116706277265,1.2394845072059875
2018-06-05,1.0,1.0,1.1520046558401575,1.2433244664905192
2018-06-06,1.0,1.0,1.1616363236725242,1.2505779390448795
2018-06-07,1.0,1.0,1.1615103294929043,1.240408454501059
2018-06-08,1.0,1.0,1.1649442145908522,1.240479853028876
2018-06-11,1.0,1.0,1.1664936240275696,1.24382231103304
2018-06-12,1.0,1.0,1.1680011320627794,1.2503644299857333
2018-06-13,1.0,1.0,1.1642741546356008,1.2502934891407866
2018-06-14,1.0,1.0,1.1672057303718766,1.2629517387143405
2018-06-15,1.0,1.0,1.1657166357553224,1.2585424219387529
2018-06-18,1.0,1.0,1.163318976666285,1.2578153926987672
2018-06-19,1.0,1.0,1.158860319575756,1.254252217130245
2018-06-20,1.0,1.0,1.1608372972929095,1.2631602132619095
2018-06-21,1.0,1.0,1.1535599372725882,1.2521858933900973
2018-06-22,1.0,1.0,1.1556631991444588,1.2494063853168003
2018-06-25,1.0,1.0,1.1399311077164707,1.2212570580419677
2018-06-26,1.0,1.0,1.142455413429096,1.2262453436488943
2018-06-27,1.0,1.0,1.1329909162401146,1.2095692105748534
2018-06-28,1.0,1.0,1.1394688149181762,1.2199740585348922
2018-06-29,1.0,1.0,1.1411092040415585,1.2232523265164514
2018-07-02,1.0,1.0,1.1435487645321036,1.2314479392599902
2018-07-03,1.0,1.0,1.1395107888134584,1.2171948937237485
2018-07-05,1.0,1.0,1.1488068104711184,1.2323028908623153
2018-07-06,1.0,1.0,1.1585239484633079,1.2514729378983838
2018-07-09,1.0,1.0,1.1689553676130313,1.262732966302183
2018-07-10,1.0,1.0,1.1731619638505464,1.2636592020116075
2018-07-11,1.0,1.0,1.16458073080684,1.2572455775248417
2018-07-12,1.0,1.0,1.175138651592603,1.278909881785091
2018-07-13,1.0,1.0,1.1760643245958056,1.2799791433915855
2018-07-16,1.0,1.0,1.1750125124254347,1.2769142700484546
2018-07-17,1.0,1.0,1.179766291670873,1.2846819493079604
2018-07-18,1.0,1.0,1.1822477535629259,1.2822592050323145
2018-07-19,1.0,1.0,1.1777888064973,1.2758454661248309
2018-07-20,1.0,1.0,1.176442597109762,1.2755603296964324
2018-07-23,1.0,1.0,1.1786302417348418,1.2796226084353697
2018-07-24,1.0,1.0,1.1845610298987543,1.2848959160499769
2018-07-25,1.0,1.0,1.1946568028737712,1.3028545909482225
2018-07-26,1.0,1.0,1.1918383899190756,1.2831148431589452
2018-07-27,1.0,1.0,1.1837622934942365,1.265797381962443
2018-07-30,1.0,1.0,1.177578574552019,1.2479098767505794
2018-07-31,1.0,1.0,1.1833834410300859,1.257459201004705
2018-08-01,1.0,1.0,1.1814063183253838,1.2622342063939207
2018-08-02,1.0,1.0,1.1878420256268407,1.2794085272726352
2018-08-03,1.0,1.0,1.1929318860096312,1.2833280089559378
2018-08-06,1.0,1.0,1.1973066678033706,1.2908822935770152
2018-08-07,1.0,1.0,1.2012604782501295,1.2955856715969785
2018-08-08,1.0,1.0,1.2007557041001333,1.297153578691017
