,ict_fvg,ict_order_block,ict_liquidity_sweep,ict_mss
2023-08-25,-0.0035677758477958843,0.0,0.0,0.0
2023-08-28,0.00593152745143799,0.0,0.0,0.0
2023-08-29,0.009002582264287629,0.0,0.0,0.0
2023-08-30,0.004874380121669963,0.0,0.0,0.0
2023-08-31,-0.00022764096566108005,0.0,0.0,0.0
2023-09-01,-0.005340953213234356,0.0,0.0,0.0
2023-09-05,0.007441984652538647,0.0,0.0,0.0
2023-09-06,0.0007324680575275799,0.0,0.0,0.0
2023-09-07,-0.00734466156053748,0.0,0.0,0.0
2023-09-08,-0.0066833869733667894,0.0,0.0,0.0
2023-09-11,-0.0016625728825541142,0.0,0.0,0.0
2023-09-12,-0.007144059837046801,0.0,0.0,0.0
2023-09-13,-0.0018536999055622783,0.0,-0.0014367312814759226,0.00021387761541835637
2023-09-14,-0.0054448194528133875,0.0,-0.0006455770047985032,-0.004608940322478161
2023-09-15,-0.0053307437302893,0.0,0.008986548243261838,-0.0073834370825947016
2023-09-18,-0.002054795442338775,0.0,-0.0011705953187926,0.000626372118125218
2023-09-19,0.0006685784518030147,-0.0018126230974474522,0.0,0.000560527383560494
2023-09-20,-0.007550338363711773,0.0020400099853563614,-0.0057815534662628565,0.004462837495035954
2023-09-21,0.01607370141679687,0.01657702078191403,-0.004285345467385238,0.0034672649511391374
2023-09-22,-0.011360520143638753,-0.0004999999999999449,0.0,0.0
2023-09-25,-0.0018903671982475334,0.0,0.0,0.0
2023-09-26,0.0002217877420298553,0.0026065540793314135,0.0,0.0
2023-09-27,-0.013026055180011764,-0.0003333333333332966,0.0,0.0
2023-09-28,0.007243390952277995,0.0,0.0,0.0
2023-09-29,0.0016857349313139647,0.0,0.0,0.0
2023-10-02,0.0036850048759062837,0.0,0.0,1.93826946559561e-06
2023-10-03,0.010214965934185027,0.0006598217037290244,-0.0007647094852375469,0.004811530605879577
2023-10-04,0.00663715411464505,-0.004386670554768934,0.0023976305959390043,-0.002002628928160499
2023-10-05,-0.012347234413115249,-0.0001666666666666483,-0.0001837322526139218,-0.002114797645016653
2023-10-06,-0.005870832971660023,0.0,-0.0001666666666666483,0.002402151856163659
2023-10-09,-0.011831650713859831,0.0,-0.0035802110576923507,0.0003274753866202573
2023-10-10,0.007233226429264938,0.0,-0.0024033004809433933,0.005645326098204784
2023-10-11,-0.0019627024134621918,0.0,0.0,0.0
2023-10-12,-0.010297379370833859,0.0,0.002497543700003435,0.0
2023-10-13,0.005693775546217195,0.0,0.001573255246237526,0.0
2023-10-16,-0.012668243312209504,0.0,0.0,0.0
2023-10-17,-0.01320495727260107,0.0,1.856470450456449e-05,-0.0016816011907446748
2023-10-18,0.007564879600564733,0.0,0.002912664016182287,-0.0026219728688922084
2023-10-19,0.01011553021605982,0.0,-0.0031004707982017488,0.0018583367232545278
2023-10-20,0.012975662538269095,0.0,-0.0033513265779476775,0.0036389943524233193
2023-10-23,-0.005289885120191573,0.0,0.0010007090428814092,-0.0020566376502442196
2023-10-24,-0.017551782042127262,0.0,0.0007737449279063835,0.0
2023-10-25,-0.008964289969186856,0.0006676358566435336,-0.0027919881622714415,0.0011347613281591507
2023-10-26,-0.0019970571545054883,0.0025129911692620688,-0.001982559472126777,0.005569250730931508
2023-10-27,-0.00275042219844579,-0.0001666666666666483,-0.002420328259753468,0.001144553880199739
2023-10-30,-0.003015944237281798,0.0,0.0,0.0
2023-10-31,0.0060179260486561414,0.0,0.0,0.0
2023-11-01,0.009403644875486838,0.0,0.0,0.0
2023-11-02,0.021080113010716994,0.003208503463589807,0.0,0.003208503463589807
2023-11-03,0.01588946780097289,0.00013931256571209083,0.0,-0.0003333333333332966
2023-11-06,-0.006159639510279313,-0.0001666666666666483,0.0,0.0
2023-11-07,0.0043844307098510615,0.0006247005591535348,0.0,0.0
