Date,tsmom_12m,tsmom_ensemble,xsec_momentum,green_line_200d,str_reversal_5d,low_vol_xsec,turn_of_month,bench_6040,spy
2007-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2007-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002725099753678828,0.0021227688702956105
2007-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0060877503601302506,-0.007976420485631186
2007-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030652132855001567,0.004625030883864234
2007-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006064866712457428,-0.0008502977587449001
2007-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013223101890711408,0.0033317042389449103
2007-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015626735033101192,0.004380249293157723
2007-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037330308310785654,0.007597167342110467
2007-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003943630107947181,-0.0019546948852735557
2007-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005250336505500108,0.0004198470602922999
2007-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014783006412903753,-0.0033559939326973653
2007-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005470353398159044,0.0019640638235407515
2007-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011185395842276957,-0.0030806742988949143
2007-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006040599835113625,0.002949751704904857
2007-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048803735913258706,0.008053181540317755
2007-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008602798660832888,-0.011740042437120346
2007-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005973804053912346,-0.0009142979310703403
2007-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006308067755228964,-0.0005622977731288836
2007-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003516657440841353,0.005209134101066937
2007-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005501580730828203,0.006723640916457052
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003300457869485163,0.005982305035328039
2007-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011722732377658306,0.0013830692081524543
2007-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006056912683152671,0.0002759455277654421
2007-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012893256563948797,0.00027617065252627526
2007-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022020096964748158,0.0022087552268390542
2007-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006882341196028374,-0.001308614475594494
2007-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005682617133509371,-0.007446737927993441
2007-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025786708515066923,-0.0034044957138564813
2007-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004767817913644379,0.008434875009610598
2007-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006235901285520295,0.006567346426901821
2007-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014141301174015464,0.001304719751591632
2007-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014784340709794735,-0.00048035522942624365
2007-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017608197302258156,0.0021275291310400846
2007-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00029463734453807346,-0.00041106706376525803
2007-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014682535470252889,-0.0007536464043519375
2007-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007441861955777892,-0.003907483381472954
2007-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007189532833947744,-0.0008947935822022357
2007-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020063504617960515,-0.039057198068286336
2007-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004765364251403037,0.010250393212741127
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014274784628552472,-0.002979947262434224
2007-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006560172303558098,-0.013095150474511708
2007-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005472350866139931,-0.009519160572457164
2007-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009739646487707976,0.01710938478539048
2007-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011759527261114857,-0.0010014889192376808
2007-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005025081777173446,0.00845486491632852
2007-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002077436469727401,0.000284158027208381
2007-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020015384733384155,0.0014917545516295316
2007-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00988560822262723,-0.019433869312805663
2007-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003944490593863393,0.007450156718736833
2007-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038855345882415904,0.0013645650756244354
2007-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017281531498465784,-0.002800499966366443
2007-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00670660223691728,0.012055480813638386
2007-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003870413653267013,0.005491851660792912
2007-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010449141934369032,0.016457328922739434
2007-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017993693270856427,-0.0007675669666538099
2007-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025665593653441117,0.0014664186486743613
2007-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004592012248411325,-0.0013252175378537512
2007-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015202298194837871,-0.0023740336399967754
2007-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004415892576821245,-0.007279835960299574
2007-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8558741068992525e-05,0.0010577821344228688
2007-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00035440028634141645,0.00021078181915723526
2007-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0003349241336871568,0.0011205756585573213,0.0011268405757798305
2007-04-03,0.0,0.0,0.0,0.0,0.0012699613665776853,0.00012909895489284867,0.0017658011610402877,0.006119758783722329,0.010762415059462516
2007-04-04,0.0,0.0,0.0,0.0,0.00041654320922160934,-0.00042504267771262223,0.002078263888452855,0.0012964445005566815,0.001114041069034677
2007-04-05,0.0,0.0,0.0,0.0,-0.00030107098942544513,-0.0005546537005454151,-0.00040516577515526634,0.0006134845664849565,0.0027109992468270505
2007-04-09,0.0,0.0,0.0,0.0,-0.0006250348123426444,-0.0008669664740074131,-0.000351490588348986,-0.0010057117214525846,0.0013867889015606316
2007-04-10,0.0,0.0,0.0,0.0,-0.0004014070603289286,-9.953961888010886e-05,0.0,0.001532130814113053,0.0011767130872279985
2007-04-11,0.0,0.0,0.0,0.0,0.0013724173591996736,-0.00011889847103626174,0.0,-0.0029324658324564323,-0.004079617077736519
2007-04-12,0.0,0.0,0.0,0.0,-0.00022278949785763593,4.537180152211509e-05,0.0,0.0030543819645941993,0.004443611843032436
2007-04-13,0.0,0.0,0.0,0.0,-0.0025820154753960615,-0.0018862422676962573,0.0,0.0020584444777380197,0.0045626128344000705
2007-04-16,0.0,0.0,0.0,0.0,-0.0020327631826848078,0.001360049385307694,0.0,0.006134547204443308,0.00949592446448877
2007-04-17,0.0,0.0,0.0,0.0,-0.0006091260439677511,0.0030394879751246447,0.0,0.003293580394713791,0.00265862851388321
2007-04-18,0.0,0.0,0.0,0.0,-0.0007613121949716169,0.0010953502520787688,0.0,0.0016525313158735956,0.0012234760845220016
2007-04-19,0.0,0.0,0.0,0.0,0.0018575309835516746,0.0019263162910428077,0.0,-0.00021106953964158403,-0.0002712234168217309
2007-04-20,0.0,0.0,0.0,0.0,-0.003339428030285081,-0.0021765832733505815,0.0,0.00523062253086266,0.009440781311740087
2007-04-23,0.0,0.0,0.0,0.0,-0.0006213733470400294,-0.0003245731631634231,0.0,-0.0014402616938355537,-0.0037677536032150183
2007-04-24,0.0,0.0,0.0,0.0,-0.0010655519363559195,0.0028317264028038308,0.0,0.0010138958757433425,0.0004052513292125415
2007-04-25,0.0,0.0,0.0,0.0,-0.0006442712639997,-0.000746735334682626,0.0,0.0052690868422397225,0.009181804617113487
2007-04-26,0.0,0.0,0.0,0.0,-3.208675331647053e-05,0.00032437668246041796,-0.003376566085264008,-0.00047235266832927906,0.0011372560051585712
2007-04-27,0.0,0.0,0.0,0.0,2.661381004941963e-05,-0.0011320729660994919,0.0009211917051909836,-0.0004811347181567171,-0.0008018911969278619
2007-04-30,0.0,0.0,0.0,0.0,-0.002136722871084305,0.0039164641610611554,-0.0019588378667968627,-0.003238745321865499,-0.008292907450245801
2007-05-01,0.0,0.0,0.0,0.0,-0.0002186320184613724,0.0008682405189073558,-0.0008434157655619549,0.0015566109293970952,0.002562929041663775
2007-05-02,0.0,0.0,0.0,0.0,0.0010810752580562321,0.00032123941101012667,0.0013386872906729003,0.003029023014204446,0.005851667850316655
2007-05-03,0.0,0.0,0.0,0.0,0.0016021052130216925,-0.001174113504562624,0.0010726379217513345,0.002815027614996124,0.005416311802729057
2007-05-04,0.0,0.0,0.0,0.0,1.559291602205371e-06,0.0017885881400712435,0.0015231186202056568,0.003290140986528156,0.003791395416502974
2007-05-07,0.0,0.0,0.0,0.0,-0.00021668505221020994,0.0005963299653545505,-0.000358470150652669,0.0004566442928034764,0.00019885784177042787
2007-05-08,0.0,0.0,0.0,0.0,0.0010057606266924497,0.00031087349196932783,0.0,-0.0007952156340004678,-0.0013253593900007798
2007-05-09,0.0,0.0,0.0,0.0,0.0001980126947352435,-0.0005419067920637958,0.0,0.00033136000841635913,0.002719900554063903
2007-05-10,0.0,0.0,0.0,0.0,0.003355566231248178,0.0017704434568019778,0.0,-0.005256490605486652,-0.010452287921477899
2007-05-11,0.0,0.0,0.0,0.0,-0.0012631543883995626,-0.0018914659276547969,0.0,0.004315017957910605,0.008557098439212263
2007-05-14,0.0,0.0,0.0,0.0,0.0016554006984021855,4.786077403220036e-05,0.0,-0.0018922423069873684,-0.0021875863191584966
2007-05-15,0.0,0.0,0.0,0.0,-0.0015929962847883218,-0.0007354295273050101,0.0,0.00011132941568594567,0.0002662157937429743
2007-05-16,0.0,0.0,0.0,0.0,-3.392837092996791e-05,0.002496059519084606,0.0,0.003862056168969596,0.00684024252962967
2007-05-17,0.0,0.0,0.0,0.0,-0.0036972376692143718,-0.001421139141835012,0.0,-0.0022520808367151755,-0.001978655662380535
2007-05-18,0.0,0.0,0.0,0.0,0.0004035116359916099,-0.000947509841837777,0.0,0.004069987197620772,0.008724393938621455
2007-05-21,0.0,0.0,0.0,0.0,0.0016473902746093469,-0.0009795237571395578,0.0,0.00022117598578994538,-0.0005240722973433032
2007-05-22,0.0,0.0,0.0,0.0,-0.0006617525622703488,-0.00046899556757772185,0.0,-0.0015901999348133967,-0.0007870548881920847
2007-05-23,0.0,0.0,0.0,0.0,-0.0008231206574676613,-0.0008843980203175927,0.0,-0.0007017276246142678,0.000130887047756989
2007-05-24,0.0,0.0,0.0,0.0,0.002483129922653623,0.002245528048115077,0.0,-0.004894194323657608,-0.009052691394048296
2007-05-25,0.0,0.0,0.0,0.0,-0.0021423815464415986,-0.001614579487955473,0.0,0.0020636461256545503,0.004171067650031723
2007-05-29,0.0,0.0,0.0,0.0,0.0019367927121595491,-0.00047113814434444337,0.00019279919588560077,0.0013451532993734362,0.0036258120685093154
2007-05-30,0.0,0.0,0.0,0.0,-0.00014602827229877828,-7.90857965886362e-05,0.0033730782892103886,0.005278525560541425,0.008144859679675598
2007-05-31,0.0,0.0,0.0,0.0,0.000533385787396027,-0.001901478080175793,0.002247205048226884,-0.0007716182698596086,-0.0010424132787762996
2007-06-01,0.0,0.0,0.0,0.0,-0.0004924522165884655,-0.0034276076167181397,0.002259233263615824,0.0012504482515706791,0.004957055155592416
2007-06-04,0.0,0.0,0.0,0.0,0.0021363443973885453,-0.0006443942383949302,0.0017930568193815714,0.0007190308428903337,0.0001299000143650808
2007-06-05,0.0,0.0,0.0,0.0,-0.0004943587579785329,-0.0009471065380691425,-0.0037722960322974326,-0.0036552568823909003,-0.0039585448547062585
2007-06-06,0.0,0.0,0.0,0.0,0.004164988404590066,0.0006036504547563001,-0.0034663180322347252,-0.006252023377548377,-0.010749662374036517
2007-06-07,0.0,0.0,0.0,0.0,0.003145018329971519,-0.0021911638632018332,-0.0004884151740534058,-0.014826038436016287,-0.01804573940258014
2007-06-08,0.0,0.0,0.0,0.0,2.8712969387350304e-05,0.003910694104716292,0.0,0.008554707787593463,0.013011466408974881
2007-06-11,0.0,0.0,0.0,0.0,-0.0027133549886011214,-0.002506891611210836,0.0,-1.219894704465054e-05,0.0017215380233650546
2007-06-12,0.0,0.0,0.0,0.0,-0.009084695759828731,-0.0007557316675358661,0.0,-0.00938755114777412,-0.010905330835157212
2007-06-13,0.0,0.0,0.0,0.0,0.006852085271995394,0.0005576375292497403,0.0,0.010287820576347428,0.014968369443850271
2007-06-14,0.0,0.0,0.0,0.0,0.0016079491962407665,-0.0009637364732153315,0.0,0.003931587849698514,0.006385764289725371
2007-06-15,0.0,0.0,0.0,0.0,0.006040988127242162,-0.000653171803302477,0.0,0.0051668277522436854,0.005689850273570274
2007-06-18,0.0,0.0,0.0,0.0,-0.00010301929006930168,-0.000322333417167577,0.0,-0.0009049260598513521,-0.001175934154472813
2007-06-19,0.0,0.0,0.0,0.0,-0.0019488059893112758,0.0023109068957707936,0.0,0.003437143834184431,0.002485694131819871
2007-06-20,0.0,0.0,0.0,0.0,-0.00112692120567802,-0.004953572136611034,0.0,-0.009629199629869212,-0.013896906692530409
2007-06-21,0.0,0.0,0.0,0.0,0.003932479614711168,0.004731068082702921,0.0,0.0028364004625572644,0.005557169784132121
2007-06-22,0.0,0.0,0.0,0.0,0.0014744482421546164,0.0002489213687938064,0.0,-0.004448318819025809,-0.009408739935326205
2007-06-25,0.0,0.0,0.0,0.0,0.001706877596524434,0.003039002961808801,0.0,-0.0015771498068198441,-0.004782685372446749
2007-06-26,0.0,0.0,0.0,0.0,-0.006038315778052361,0.002958333374206681,0.0,-0.00606770584024281,-0.010278201110811458
2007-06-27,0.0,0.0,0.0,0.0,0.005114698294617506,-0.0008700696831826341,0.004760171132117375,0.008487779200395406,0.01422870316555458
2007-06-28,0.0,0.0,0.0,0.0,0.0012365161653719622,-0.001263681846536349,0.0006777632969098058,-0.00032723623353791975,-0.00013250732782787988
