Date,turn_of_month_gen_5_7,turn_of_month_narrow,turn_of_month_gen_1_3,tsmom_3m,tsmom_gen_424d,turn_of_month_wide,turn_of_month_gen_7_2,turn_of_month_gen_1_6,turn_of_month_gen_5_2,turn_of_month_gen_7_5,turn_of_month_gen_7_3,factory_combo_donchian_gen_93d_turn_of_month_gen_3_1,factory_combo_donchian_gen_109d_turn_of_month_gen_1_2,factory_combo_str_reversal_gen_36d_turn_of_month_gen_5_8,factory_combo_str_reversal_gen_25d_low_vol_xsec_gen_112d,factory_combo_donchian_gen_115d_turn_of_month_gen_1_4,factory_combo_turn_of_month_gen_2_4_donchian_gen_94d,factory_combo_donchian_gen_28d_tsmom_gen_120d,factory_combo_tsmom_gen_69d_low_vol_xsec_gen_79d,factory_combo_turn_of_month_gen_4_3_donchian_gen_107d,factory_combo_low_vol_xsec_gen_126d_tsmom_gen_43d,factory_combo_donchian_gen_45d_tsmom_gen_164d,factory_combo_tsmom_gen_86d_low_vol_xsec_gen_53d,factory_combo_tsmom_gen_108d_donchian_gen_18d,factory_combo_tsmom_gen_70d_low_vol_xsec_gen_100d,factory_combo_low_vol_xsec_gen_56d_tsmom_gen_87d,factory_combo_tsmom_gen_140d_donchian_gen_99d,factory_combo_tsmom_gen_137d_donchian_gen_106d,factory_combo_tsmom_gen_67d_low_vol_xsec_gen_28d,factory_combo_low_vol_xsec_gen_60d_tsmom_gen_85d,factory_combo_tsmom_gen_92d_low_vol_xsec_gen_27d,factory_combo_tsmom_gen_51d_low_vol_xsec_gen_121d
2018-01-02,0.0036409501126939,0.0044546388634151,0.0044546388634151,-0.0001259741909885,-5.064056346367666e-05,0.0044546388634151,0.0036409501126939,0.0036409501126939,0.0036409495875286,0.0036411166024078,0.003641044119787,0.0027164139086657,0.0028133045408893,0.0020079323804067,0.000612419253001,0.002813242715448,0.0028130203749986,0.0031197857283666,0.0018338059872619,0.0028131455501921,0.0017737243083797,0.0029788961016428,0.0019453756468385,0.0030938021480261,0.0016927176167018,0.0019453606732679,0.0027759864782421,0.0029083984586571,0.0016927768156768,0.0019452453295039,0.0020865820163893,0.0015492510164150353
2018-01-03,0.0048268998691326,-0.0021044997038381,-0.0003851255448367,0.006075604194859,0.004471748259681,-0.0021044997038381,0.0048268998691326,0.0048268998691326,0.0048270058917084,0.0048268898504668,0.004827033610981,0.0040868674186594,0.0040868142627492,0.0031163914839615,0.0024287707906467,0.004086683758613,0.0040867042324793,0.0038663201305604,0.0036224634290444,0.0040866672630762,0.0034546073214797,0.0038306588410045,0.0035653142962575,0.0038495030763973,0.0036393156232739,0.0035653255234079,0.0038709019154014,0.0038909522880506,0.0033557491432471,0.0034185988734222,0.003383060349482,0.0032980969810045163
2018-01-04,0.0011013929162501,-0.0003864800206781,0.0,-0.0006287206523247,0.0003737419178668,-0.0012673692906954,0.0011013929162501,-0.0006418637859233,0.0011010499862735,0.0011012381137183,0.0011010679722386,0.0021481818006413,0.0018867650510968,0.0010954906574545,0.000773067431972,0.001886621491503,0.0021481929689348,0.0022896551939057,0.001666921989138,0.002148279651961,0.0021122910915225,0.0022638482997211,0.0021266043067302,0.0022895801159187,0.0016669702370721,0.0021265323904785,0.0022980577523482,0.0022981492803406,0.0023014509160479,0.0017519794956445,0.0023016476470117,0.0021154636476301302
2018-01-05,0.0018453667356754,0.0,0.0,-0.0019065831805247,0.001061837179399,0.0056822119184554,0.0018453667356754,0.0,0.0018455461116256,0.0018455641015573,0.0018456510312192,0.0030914655388397,0.0028144995205813,0.0023771371122226,0.0022258229799722,0.0028145161941139,0.0027183553959072,0.0030859969249886,0.0029168764338997,0.0030915299453666,0.002788537410338,0.0030539030302342,0.0029480170523845,0.0030861369275,0.002916687703778,0.0029481149465823,0.0031207846766653,0.003120803970011,0.0029081604786059,0.0029500308554602,0.0029081264361977,0.002846315123973784
2018-01-08,0.0012122184671166,0.0,0.0,0.0015675602741704,-0.0002053350716162,-0.0022649965246707,0.0012122184671166,0.0,0.0012122085720059,0.0012120322494189,0.0012119602175067,0.0005981856828953,0.000693861817609,0.0008918363409046,0.0008170024072602,0.0006938783985293,0.0006937222843077,0.0007090135902962,0.0009481695273687,0.0008753400386841,0.0006733333869243,0.0006985075969731,0.0008944852291578,0.0007086738026304,0.0009482239754119,0.0008946932208117,0.0007228719610216,0.0007228393279909,0.0006634887086813,0.0008381538870881,0.0006635450132701,0.0006861247154677913
2018-01-09,-0.0025674943945966,0.0,0.0,-0.0035127832619734,-0.0003632995326398,-0.0003860473281842,-0.0025674943945966,0.0,-0.0025674742042365,-0.0025675188192792,-0.0025674067719025,-0.0003075730906844,-0.0003076309557676,-0.0007744336427124,-0.0005450621912908,-0.0003076411315731,-0.0003077503144293,-0.00059803576017,-0.0007472398490929,-0.0004034336611382,-0.0006833944597342,-0.0007879753548733,-0.000196566468936,-0.0005979363823984,-0.0007473135539032,-0.0001966995576453,-0.0005978208926586,-0.0005979828128717,-0.0003698877243768,-0.0004643675741199,-0.0003699140398484,-0.00041357508202643936
2018-01-10,-0.0006385848594333,0.0,0.0,-0.0053331557824754,0.0003230036893696,0.0,-0.0015370597491685,0.0,-0.0006385846596005,-0.0015370279877208,-0.0015370168106621,-0.0006347783060663,-0.0007442676261734,-0.0009264623972914,-0.0011143766854396,-0.0007440003321467,-0.0006346605092267,-0.0007778636517322,-0.0012453888385576,-0.0007437538309785,-0.000834753998293,-0.0007896576693439,-0.0009069175347279,-0.0007776123539048,-0.0012454548392962,-0.0009071910271575,-0.0008871732275378,-0.0008871699732762,-0.000818798010971,-0.0011172546154609,-0.0008190498380081,-0.0008102750799747037
2018-01-11,0.0,0.0,0.0,6.373486919120455e-05,0.0002395890260205,0.0,0.004033878845781,0.0,0.0,0.0040341775585165,0.0040339413376968,0.0032542043566774,0.0032496122374717,0.0024450266928403,0.0023276264849197,0.0032492953884339,0.0032543981276429,0.0039497260424575,0.0037150741062672,0.0032492881696561,0.0039022614069771,0.004021999981981,0.0037892532376543,0.0039498433016989,0.003715008914717,0.0037895704273181,0.0039904097585415,0.0039904114176953,0.0039417040147683,0.0037997236764413,0.0039417349582291,0.0038188767024905142
2018-01-12,0.0,0.0,0.0,-0.0014226956273763,0.0012953665815324,0.0,-0.0006370648073351,0.0,0.0,-0.0006370656597805,-0.0006370639610511,0.0030298758784029,0.0030295862850268,0.0014438914367947,0.0008114756515176,0.0030299165873023,0.0030297060843856,0.003955347329885,0.002446697156288,0.0030299024349816,0.003133459112079,0.0039334280737512,0.0026618131720288,0.0039552086486249,0.0024468752534761,0.0026614529102236,0.0039602065200325,0.0039602150689268,0.0032672874156137,0.0026110963999018,0.003267076493271,0.003099437272504387
2018-01-16,0.0,0.0,0.0,-0.0012376396748424,0.0006413684523433,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016891525556519,-0.0016887699222429,-0.0010878469794534,-0.0010110643061211,-0.0016891813732941,-0.00168921145497,-0.001767788171292,-0.0016049525455493,-0.0016892410992107,-0.0013296728889772,-0.001737530164375,-0.0016800146272623,-0.0017678090868119,-0.0016048070020339,-0.0016797671700711,-0.0018575756353583,-0.0018573304255028,-0.0014840659117827,-0.0014623357631285,-0.0014838630919731,-0.001413703309184954
