Date,overnight,intraday
2004-01-02,,-0.001070536931015345
2004-01-05,0.006587984497759464,0.005191812268527274
2004-01-06,0.0009994385463341637,0.002014089207947739
2004-01-07,-0.0024514076473460406,0.005268957284638831
2004-01-08,0.003973428551775723,0.0008976551853194514
2004-01-09,0.0016571079078090134,-0.0009276078953676936
2004-01-12,0.0011842484000381126,0.004022907496958564
2004-01-13,-0.000311650251845319,-0.001753790093413865
2004-01-14,0.0018481116389341967,0.0026759602674159
2004-01-15,-0.00042504448603238043,-0.0008281550508460883
2004-01-16,0.0021729023561555677,-0.0015629748451083253
2004-01-20,0.004829849216094251,0.0010012267218289794
2004-01-21,0.0006824197201816401,0.0022445524608190326
2004-01-22,0.001966983532673855,-0.0018904239420431262
2004-01-23,0.001051474861505225,-0.00620476541743549
2004-01-26,0.0005831323140963046,0.0034025222432179647
2004-01-27,0.00038008375801137917,-0.0051323911051601445
2004-01-28,0.0028999061551904792,-0.014706401478687667
2004-01-29,-0.0005361976118710976,-0.0022871455476509567
2004-01-30,0.0004037007519081537,0.00044086338593332663
2004-02-02,0.0008410460220654448,-0.000990804533170575
2004-02-03,0.0014954090018936689,-0.0016326613767902454
2004-02-04,-0.00368937866824319,-0.0055094114243792736
2004-02-05,0.003035326355498247,-0.001695636923314467
2004-02-06,0.006150879705772258,0.008355048726551975
2004-02-09,0.005240146708275217,-0.001199256497974352
2004-02-10,-0.0003716880439610243,0.0014951838709303805
2004-02-11,-0.0002866532170721914,0.009426769243493782
2004-02-12,-5.44364640666789e-05,-0.00432560646897677
2004-02-13,0.005287447439091486,-0.006644223181221376
2004-02-17,0.007155285684825735,0.0023068012044470676
2004-02-18,0.002022039765893241,-0.0066915645792768735
2004-02-19,0.004142011437444415,-0.008235191351482277
2004-02-20,-0.0005475858469053824,-0.005276829694944668
2004-02-23,0.0034618022337822574,-0.0062311938074789824
2004-02-24,-0.002238181861453928,0.001128104476414718
2004-02-25,0.0018875665034072675,0.0020120156416466167
2004-02-26,-0.001116054210765216,0.0024325300039891307
2004-02-27,0.0040212624012931075,0.0010997724559288768
2004-03-01,0.004157806120031526,0.005249285539660337
2004-03-02,-0.0016133920961920872,-0.0063308287562390125
2004-03-03,-0.0026878715308700507,0.0009200601122438951
2004-03-04,-0.00039973663308912055,0.005877190995738774
2004-03-05,0.003915128833595682,0.00359804496578163
2004-03-08,0.002803124952687988,-0.009220702143062476
2004-03-09,0.0016183519591190937,-0.003680079895595184
2004-03-10,0.00015162403351202947,-0.011054117776204991
2004-03-11,-0.003253677450297393,-0.00586151612776975
2004-03-12,0.0034607982236049967,0.004657553809952683
2004-03-15,-0.0034909894195459396,-0.0075261315531049144
2004-03-16,0.003949100981635076,0.0019189921841496205
2004-03-17,0.0063467049298483735,0.00340384717378496
2004-03-18,-0.001782622917789356,-0.0003954767997701447
2004-03-19,-0.00035234085680133087,-0.0084100440190501
2004-03-22,-0.0013949451714986988,-0.006106170048916046
2004-03-23,0.004673684702934264,-0.0028208676368642743
