Date,rp_asset_class_trend_hedge_SPY_IEF_252_63,rp_asset_class_trend_hedge_QQQ_GLD_90_60,rp_asset_class_trend_hedge_GLD_QQQ_130_100
2018-01-02,0.0012832037290101,0.0020816005249605,0.0020816280239237513
2018-01-03,0.0005903116763458,0.0004075297538972,0.0004075101693532255
2018-01-04,0.0005502620786902,0.0004904837136684,0.0004904848185245741
2018-01-05,0.000934503509043,0.0005497272145969,0.000549771201593963
2018-01-08,0.0002746436615013,0.0002309693465751,0.00023094059752494698
2018-01-09,0.0008857218703859,-0.0003468529701625,-0.00034685900921742417
2018-01-10,-0.0001329208472339,3.924295176033031e-05,3.9277857809042545e-05
2018-01-11,0.0007267655138743,0.0006639246996853,0.0006638979922799075
2018-01-12,0.0008184805341101,0.0013615298117438,0.0013615458302790077
2018-01-16,-0.0004461534968636,-4.903862319539218e-05,-4.905207058481293e-05
2018-01-17,0.0013059548450649,3.620866881480115e-05,3.622618667947675e-05
2018-01-18,0.0002424087230358,-0.0001568337579532,-0.00015684534994668298
2018-01-19,0.0008306913439833,0.0005246814287811,0.00052468308898144
2018-01-22,0.0009175397059248,0.0007806572745276,0.0007806512924144961
2018-01-23,-0.0001709984018074,0.0008674506595819,0.0008674721347136017
2018-01-24,0.0002166117603157,0.0005332006130788,0.0005331973004591231
2018-01-25,-0.0002520033014003,-0.0005252226459431,-0.00052524561462859
2018-01-26,0.0015790345291033,0.0009712791489924,0.0009713101162336054
2018-01-29,-0.0003427861992087,-0.000713542335336,-0.0007135392011103457
2018-01-30,-0.0007107064361838,-0.0008527676605256,-0.000852757018941146
2018-01-31,1.055921103170206e-05,0.0007590067247919,0.0007589828177358229
2018-02-01,0.0005750557203678,-0.000309980126161,-0.00030994509213563663
2018-02-02,-0.0016679378790056,-0.0022511916172349,-0.002251220284335302
2018-02-05,-0.0052487410575945,-0.0023685590925206,-0.002368554910248652
2018-02-06,0.0016264273117075,0.0004984915292451,0.0004984916216157375
2018-02-07,9.611304172493756e-05,-0.0009415715905992,-0.0009415787311600875
2018-02-08,-0.0021482754619439,-0.0018811216375206,-0.0018811251181436613
2018-02-09,0.0010477808785194,0.0006953548133465,0.0006953630386545552
2018-02-12,0.0008342879627029,0.0011753870920055,0.0011753611814084182
2018-02-13,-0.0001222252085738,0.0005739218875662,0.0005739375383856276
2018-02-14,0.0013801011464702,0.0018618898012467,0.001861889192731503
2018-02-15,0.0005020872227607,0.0007557448756853,0.0007557407759890761
2018-02-16,-0.0003019549488468,-0.0003889635354464,-0.00038897138302458254
2018-02-20,-0.0001219240389178,-0.0008585083000257,-0.0008585114881681474
2018-02-21,0.0001849536993652,-0.0004074933677157,-0.0004074696381002173
2018-02-22,-0.0001297482044633,0.0003333999222725,0.0003333999042325938
2018-02-23,0.0001526656894955,0.0006418682562027,0.0006418678273348629
2018-02-26,0.000326957005421,0.0006336607324703,0.0006336423417228232
2018-02-27,-9.13734308876368e-05,-0.0011258533809249,-0.0011258460862586315
2018-02-28,-0.0007262676168347,-0.0002905069061211,-0.0002904949441963747
2018-03-01,-0.0011655452604922,-0.0007121075015085,-0.0007121004538850792
2018-03-02,0.0007043697937169,0.0006756511484657,0.0006756290726421607
2018-03-05,0.0006402015584129,0.000269609462801,0.00026960824223574444
2018-03-06,0.0001109440153958,0.0008727346919748,0.0008727619009033698
2018-03-07,-1.4284725911364313e-05,-0.0003532091425138,-0.0003532283331996244
2018-03-08,-8.616594288637667e-05,2.71846118363882e-05,2.718902925053041e-05
2018-03-09,0.0009652288499072,0.0007293277518255,0.0007293285119554779
2018-03-12,-0.0003628156892208,0.0001817828302174,0.00018178394280274167
2018-03-13,-0.0004693297630563,-0.0003283608080181,-0.0006580201709769643
2018-03-14,-0.0004567308541537,-4.948411772948868e-05,3.772833185030448e-05
2018-03-15,1.036718556167474e-05,-0.0004657282915726,0.00040685371939377723
2018-03-16,0.0001975996870792,-0.0002648263222928,6.451189109622854e-05
2018-03-19,-0.0003869053796305,-0.0005702092216314,-0.0008673319425173097
2018-03-20,0.0003248938783568,-0.0002016627795024,0.0004154881801067455
2018-03-21,-0.0001641191226959,0.0010588042520875,-0.00134335714907724
2018-03-22,-0.0014938273853921,-0.0010785238394518,-0.0005345453408646132
2018-03-23,-0.0009882346558912,2.91481450864421e-05,-0.001751295880814573
2018-03-26,0.0013984036166348,0.0015754604359791,0.0008529630193891128
2018-03-27,-0.0013320863552774,-0.0013283560173154,-0.0013913326294697338
2018-03-28,-7.400253360460274e-05,-0.0012019304959426,-0.0012019259782147093
2018-03-29,0.0001601014009042,0.0005596739104495,0.000559678883096198
2018-04-02,-0.0008656163928104,-9.849806671904372e-05,-9.848953213507439e-05
2018-04-03,0.0008415791731373,-0.0001592393439284,-0.00015924396391036864
2018-04-04,0.000424780799813,0.0004963686291445,0.0004963535442161484
2018-04-05,0.0005933437193309,-0.0001601326691822,-0.00016012935512293647
2018-04-06,-0.0013081594701056,-0.0003869080718478,-0.0003869052800214903
2018-04-09,0.0001338890137695,0.0003961544520171,0.00039614961847468113
2018-04-10,0.0007286818342433,0.0007160362381872,0.0007160338136081271
2018-04-11,-0.0002933268687991,0.0003189015834121,0.0003189111954106208
2018-04-12,0.0007363408348354,-0.0003870802908398,-0.00038707356030913957
2018-04-13,-0.0002085923336219,0.0002600138441104,0.00026001322399169316
2018-04-16,0.0003215061008812,0.0002834875125543,0.0002834858295033006
2018-04-17,0.0002521005951285,0.0006070940670397,0.0006070992934621659
2018-04-18,0.00054268197096,9.941977384580076e-05,9.941506626162064e-05
