strategy,verdict,sharpe,calmar,maxdd,corr_bench,dsr
ict_fvg,DEAD,-1.576520431825132,-0.40415390708468213,-0.5209525429924103,-0.1411797966455352,0.0029649891712263594
ict_order_block,DEAD,-0.6357459576681349,-0.2692051527671021,-0.10023772709937129,-0.14115589255002292,0.10685139076203282
ict_liquidity_sweep,DEAD,-0.03210934125515293,-0.04539279720960073,-0.0931250765164866,0.0705776562363496,0.558259872797992
ict_mss,DEAD,-1.0445072533348918,-0.29853083973862976,-0.1798640902541414,-0.19706336663421584,0.019444565930409857
ict_combo_ict_order_block_ict_liquidity_sweep,DEAD,-0.3771757448373308,-0.19032289447417747,-0.07827886069899881,-0.016762124894582058,0.27897920824010813
ict_all_concepts,DEAD,-1.6537921558358322,-0.3538460788368953,-0.21258253449272924,-0.16980972676921363,0.001943439619263866
