Datetime,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,GLD,SLV,DBC,USO,VNQ,UUP
2023-08-25 09:30:00-04:00,437.5899963378906,361.8500061035156,183.02999877929688,69.9000015258789,38.71500015258789,94.94999694824219,93.55999755859375,104.77999877929688,74.41500091552734,177.32000732421875,22.079999923706055,24.280000686645508,72.25,81.04000091552734,29.014999389648438
2023-08-25 10:30:00-04:00,438.0299987792969,361.20001220703125,183.0800018310547,69.90499877929688,38.779998779296875,95.18000030517578,93.63009643554688,104.94499969482422,74.45500183105469,176.8896942138672,22.084999084472656,24.30500030517578,72.05000305175781,81.22000122070312,29.030000686645508
2023-08-25 11:30:00-04:00,438.8299865722656,361.70001220703125,183.74000549316406,70.05999755859375,38.845001220703125,95.16000366210938,93.5999984741211,104.94499969482422,74.51000213623047,177.22999572753906,22.13010025024414,24.350000381469727,72.2300033569336,81.19000244140625,29.01099967956543
2023-08-25 12:30:00-04:00,438.1099853515625,361.4200134277344,183.4499969482422,69.99500274658203,38.79999923706055,95.22000122070312,93.69999694824219,105.0,74.52999877929688,177.4600067138672,22.174699783325195,24.170000076293945,71.16999816894531,80.9219970703125,29.014999389648438
2023-08-25 13:30:00-04:00,440.375,363.9400939941406,184.6750030517578,70.26000213623047,38.91529846191406,95.16500091552734,93.71499633789062,105.04000091552734,74.66000366210938,177.6300048828125,22.239999771118164,24.389999389648438,72.31999969482422,81.20999908447266,28.969999313354492
2023-08-25 14:30:00-04:00,440.92999267578125,364.8999938964844,184.86000061035156,70.29499816894531,38.935001373291016,95.0,93.62999725341797,104.93000030517578,74.66500091552734,177.6300048828125,22.2549991607666,24.44499969482422,72.58499908447266,81.28500366210938,28.985000610351562
2023-08-25 15:30:00-04:00,439.95001220703125,364.07000732421875,183.99000549316406,70.22000122070312,38.90999984741211,95.21499633789062,93.69000244140625,104.97000122070312,74.5999984741211,177.6300048828125,22.219999313354492,24.43000030517578,72.43000030517578,80.9800033569336,29.010000228881836
2023-08-28 09:30:00-04:00,443.1789855957031,366.8699951171875,186.4949951171875,70.87000274658203,39.29999923706055,95.37000274658203,93.80000305175781,105.2300033569336,74.79000091552734,178.11500549316406,22.270000457763672,24.450000762939453,72.75,82.06500244140625,28.9950008392334
2023-08-28 10:30:00-04:00,441.4599914550781,365.07000732421875,185.72000122070312,70.80999755859375,39.28499984741211,95.20999908447266,93.83999633789062,105.1500015258789,74.7750015258789,178.22999572753906,22.28499984741211,24.43000030517578,72.6500015258789,81.80999755859375,29.0
2023-08-28 11:30:00-04:00,441.2099914550781,364.760009765625,185.7050018310547,70.83999633789062,39.26409912109375,95.16000366210938,93.83999633789062,105.20999908447266,74.7750015258789,178.4799041748047,22.281099319458008,24.350000381469727,72.32990264892578,81.83999633789062,28.989999771118164
2023-08-28 12:30:00-04:00,442.739990234375,366.6310119628906,185.95010375976562,70.93000030517578,39.290000915527344,95.0199966430664,93.80000305175781,105.20999908447266,74.82499694824219,178.08999633789062,22.21500015258789,24.350000381469727,72.3499984741211,81.94499969482422,28.985000610351562
2023-08-28 13:30:00-04:00,441.260009765625,365.2300109863281,185.41000366210938,70.82499694824219,39.23500061035156,95.13500213623047,93.85800170898438,105.23999786376953,74.79000091552734,178.14999389648438,22.20009994506836,24.360000610351562,72.41000366210938,81.7300033569336,28.9950008392334
