window,start,end,months,contributed,plain_terminal,tiered_terminal,plain_irr,tiered_irr,gap,pct_months_near_high,reserve_left
full history,2000-01-03,2026-07-23,319,319000.0,1887655.6580638438,1770817.4452719167,0.11512290110804316,0.11136042312027711,-116838.21279192716,0.9184952978056427,68239.9702113878
dot-com onset (2000),2001-01-02,2026-07-23,307,307000.0,1789865.1287444073,1661795.2682254012,0.11896698086748075,0.1143998531089892,-128069.86051900615,0.9153094462540716,67447.80334694867
GFC onset (2007),2008-10-01,2026-07-23,214,214000.0,916817.3924419079,782189.0976732472,0.14626017904847682,0.13131523240772366,-134628.29476866068,0.9392523364485982,59436.64639871092
covid onset (2020),2021-01-04,2026-07-23,67,67000.0,106238.4963382994,99108.37940839957,0.16582675220888626,0.1405762572245294,-7130.116929899828,0.9850746268656716,17842.907131901266
2022 bear onset,2023-01-03,2026-07-23,43,43000.0,60847.22770845893,57217.76079040016,0.20005452827208492,0.16342322586606314,-3629.466918058766,1.0,11582.34000905598
