Date,piggyback_2a,piggyback_2b,piggyback_3,piggyback_4
2018-01-02,0.0019538763783229834,0.0019885759874532045,0.002334418287638043,0.0026378341500658316
2018-01-03,0.00354652776766954,0.0036977010847640806,0.0036861104298192217,0.003493958145993424
2018-01-04,0.0017765529523381183,0.0016482268022194454,0.0019403172413670951,0.0021875734777495608
2018-01-05,0.0028351829374566023,0.00286737443702391,0.0029119831329436963,0.0029945407659284808
2018-01-08,0.0007524427987284664,0.0009293243979488463,0.00073276563928842,0.0006589251032772863
2018-01-09,-0.0010179245467654581,-0.0009378822790924045,-0.0009993567022584088,-0.0008470687542646018
2018-01-10,-0.001160881038478363,-0.0012567311754238784,-0.001110258033208043,-0.0010048349948275205
2018-01-11,0.003901838344585131,0.0037417055379124053,0.004179202659646557,0.004239207021042307
2018-01-12,0.0028220845087039,0.002420065201780805,0.003351813244204381,0.003612434430974122
2018-01-16,-0.0013746188735919381,-0.00158586932149884,-0.001462674457428085,-0.0014494472204946212
2018-01-17,0.0038462248826508275,0.003944262618371571,0.003966713009515566,0.003981867469856546
2018-01-18,-0.002301421060281804,-0.002350315515684319,-0.0023471363242084436,-0.0021185689429170785
2018-01-19,0.001452511244951089,0.0015177904107720455,0.001648593111913114,0.0017589364243120707
2018-01-22,0.003941309882075234,0.0038109760949316136,0.004175652371042604,0.004144589426787296
2018-01-23,0.002596982747773869,0.0024989071467565026,0.002819432473526568,0.002489355784308912
2018-01-24,-0.0009402408172584324,-0.0013171747927213304,-0.000494087044254089,-0.0003616367355435932
2018-01-25,0.0009157143287048827,0.0009653573280367751,0.0007043247785971448,0.0006437423305756947
2018-01-26,0.004489349776899363,0.004406709114746935,0.004887129013890143,0.0049981653518477945
2018-01-29,-0.004655460337272716,-0.004556070067011083,-0.004959590228395233,-0.004760965357478549
2018-01-30,-0.006104533108951697,-0.006170620290735817,-0.006390924527485087,-0.006171968555472015
2018-01-31,0.0008331398986888894,0.0007834855739578922,0.0010475207547341967,0.0008345094373057703
2018-02-01,-0.0028149960990856305,-0.003013854575977459,-0.0026857258041390712,-0.0024427164728352425
2018-02-02,-0.011540749758289684,-0.012018689413243641,-0.012321838576040594,-0.012263378522981674
2018-02-05,-0.01726138868175112,-0.017184343088632256,-0.018222014463763717,-0.01863459476392788
2018-02-06,0.00811992068692876,0.007955232375100586,0.008484862173734248,0.008622059054329455
2018-02-07,-0.0036283679697909944,-0.0037206591269171945,-0.004140446929592442,-0.004171071793480924
2018-02-08,-0.017307511149243462,-0.017690301630209498,-0.01803911314660283,-0.018164214017976243
2018-02-09,0.005725941275242883,0.006029724383391149,0.005825782342467353,0.006024860594079807
2018-02-12,0.007121437261532781,0.007136698387014807,0.007528855495901088,0.0075231963954516794
2018-02-13,0.0013326961662440814,0.0013470979709892838,0.0014651022543829746,0.0015812733785932312
2018-02-14,0.004991579934009029,0.004581140690689203,0.005925548494692226,0.006315135546523949
2018-02-15,0.006343211459759276,0.006350919347268601,0.0067073431780038575,0.006633624545697857
2018-02-16,0.001173380856357426,0.001469674915516487,0.000931372386261997,0.0007398249333864144
2018-02-20,-0.003614330268676799,-0.0037585864665400206,-0.0038336677261223808,-0.003713724960436029
2018-02-21,-0.0033628490120752347,-0.0036540268732115355,-0.003344307250797648,-0.003135229895704226
2018-02-22,0.0010200365208464497,0.0012273100199326958,0.0012222943274875146,0.0012338908987373403
2018-02-23,0.008643479864135072,0.009075134542798898,0.008857159366090593,0.00876641941518767
2018-02-26,0.005833399274655296,0.0059498411588205374,0.006104951796861334,0.0061444538708539664
2018-02-27,-0.006834809647268687,-0.007254252669159507,-0.007393507805945855,-0.0074533719684721726
2018-02-28,-0.004105837481056685,-0.003929181537312096,-0.00457338832525691,-0.004806643594158605
2018-03-01,-0.0061819980414494595,-0.006054926554732329,-0.006320623201906505,-0.006269026846846359
2018-03-02,0.0011013426738056044,0.0008307112747231892,0.001369259032836166,0.0015260532083782434
2018-03-05,0.004427222555123355,0.004452676374536486,0.00469073488189524,0.004822491045281183
2018-03-06,0.0011475698778317437,0.0013397685733217072,0.0012203359127282314,0.0012567189301764755
2018-03-07,-0.00048361306188425,-0.0006275077273557258,-0.00039848727599324637,-0.00035592438304774454
2018-03-08,0.002654731775253167,0.0029746469265142556,0.00239129719825558,0.0022595799097567867
2018-03-09,0.00664724032780783,0.006644785700419218,0.007146848954339424,0.007396653267605221
2018-03-12,0.00016320360614745198,0.0002523475101097476,8.715450293270897e-05,4.912995132533746e-05
2018-03-13,-0.0022969578691073842,-0.002299829410905418,-0.0024559649746103314,-0.002535468527361805
2018-03-14,-0.0014198277218642331,-0.0013177114457622104,-0.0016058630651984871,-0.0016988807368656142
2018-03-15,-0.0005118245049474411,-0.0005317304518715709,-0.0006182101420644025,-0.0006714029606228831
2018-03-16,0.00016806482696819265,0.0002350386388858668,0.00017866176888382948,0.0001839602398416479
2018-03-19,-0.0062844475252874146,-0.006555266182032481,-0.006222450685535457,-0.006191452265659479
2018-03-20,0.00017795773988832922,0.00016239769254516845,0.00035032039998857947,0.00043650173003870473
2018-03-21,-0.00014101312747234648,-0.00016322938925489772,4.429584513364847e-05,0.00013695033143664586
2018-03-22,-0.009311197112641504,-0.009333015233899419,-0.009901347493887712,-0.010196422684510814
2018-03-23,-0.008301485552408894,-0.008450563859438891,-0.008410198118850814,-0.008464554402071774
2018-03-26,0.010930028153792515,0.010910720609432652,0.01128003870589273,0.011455043981942838
2018-03-27,-0.005373531946935688,-0.005068393836924503,-0.006080013738455967,-0.006433254634216107
2018-03-28,-0.0016344185773757036,-0.0012329134485152965,-0.0018706900998491003,-0.001988825861085798
