window,start,end,months,contributed,plain_terminal,tiered_terminal,plain_irr,tiered_irr,gap,pct_months_near_high,reserve_left
full history,2000-04-03,2026-07-23,316,316000.0,3698586.838835199,3402421.941915983,0.15612759374525917,0.1513077459512715,-296164.89691921603,0.8259493670886076,57765.73363196692
dot-com onset (2000),2001-01-02,2026-07-23,307,307000.0,3614259.69440088,3316943.7152683386,0.16139841401927696,0.15627517634165997,-297315.97913254146,0.8371335504885994,57765.73363196692
GFC onset (2007),2008-10-01,2026-07-23,214,214000.0,1570480.4217959484,1317032.2179881446,0.19611377889195866,0.17991609004056955,-253448.2038078038,0.9018691588785047,49130.66382621318
covid onset (2020),2021-01-04,2026-07-23,67,67000.0,118328.68033295173,115935.44111504042,0.20524044403173317,0.19774462674067758,-2393.2392179113085,0.8507462686567164,10707.6876759668
2022 bear onset,2023-01-03,2026-07-23,43,43000.0,66613.60613129947,62549.85295227671,0.25497010396393316,0.21666691623286166,-4063.7531790227586,0.9534883720930233,10707.6876759668
